domain,company,stratum,country,vertical,industry_raw,employees,n_article_urls,posts_probed,posts_en,posts_informational,posts_usable,languages,est_usable_total,sample_titles
siteimprove.com,Siteimprove,ft1000_wayback:20230425220624,eu,software_saas,Technology,,310,5,5,5,5,en,310,Prepare your website for Core Web Vitals with Siteimprove | How to Manage Duplicate Content with Canonicalization | Exploit these Overlaps between SEO and Web Accessibility
ediblearrangements.com,Edible Arrangements,inc.com_api_i5list,us,ecommerce_retail,Retail,,296,4,4,3,3,en,222,50 One-of-a-Kind 60th Birthday Gift Ideas - Edible® Blog | Favorite Dessert Shooter Ideas - Edible® Blog | Edible Cares™ Fund Provides Support to Store Employees - Edi
incauthority.com,Inc Authority,inc.com_api_i5list,us,services_other,Business Products & Services,,280,5,5,4,4,en,224,Forming an LLC for a New Business | Inc Authority | Starting a Pressure Washing Business: A Step by Step Guide - | How to Start an LLC in Arkansas: Step-by-step | Inc Authorit
embroker.com,Embroker,inc.com_api_i5list,us,fintech_insurance,Insurance,,279,5,5,4,4,en,223,How Embroker Changed Cyber Dive’s Entire Perspective on Insu | Does Your Startup Need D&O Insurance? | Fractional Marketing vs. Interim Marketing Support in Law Fi
clear.co,Clearco,inc.com_api_i5list,us,fintech_insurance,Financial Services,,273,5,5,5,5,en,273,A quick guide to understanding inventory financing | B2B SaaS marketing attribution: What you need to know | Blog | Clearco
everydoorrealestate.com,Top Pod,inc.com_api_i5list,us,services_other,Real Estate,,270,5,5,5,5,en,270,How To Find The Best Agent For A Short Sale | Expert Questions to Ask When House-Hunting with Pets in Mind | 3 Huge Tips For Refinancing Your Mortgage Even If You Have B
chetu.com,Chetu,inc.com_api_i5list,us,services_other,Software,,260,5,4,3,3,en+other,156,Ashley Swanberg | HTML5 App Development Fundamentals - Chetu - Blog | Implement Siemens Soarian® Clinical Workflows and help Hospi
agencyanalytics.com,AgencyAnalytics,g2.com_wayback,other,software_saas,Data Visualization,,256,5,5,3,3,en,154,New Feature: Multiple White Label Profiles | 11 Ways to Increase Your Email Open Rate | How To Create Winning Spotify Ad Campaigns - AgencyAnalytics
pieinsurance.com,Pie Insurance,inc.com_api_i5list,us,fintech_insurance,Insurance,,237,5,5,4,4,en,190,How to open a small business bank account | Pie Insurance | What Are Insurance Loss Runs? | Workers' Comp 101 | Pie Insu | Pie Insurance Extends Service to Small Businesses in Alaska 
daily.co,Daily,yc_directory,us,devtools,devtools,,232,5,5,3,2,en,93,"How Daily is working around the H.264 bug in Safari 15.1 | A Bias Towards Action: Why VCs prefer ""technical"" founders | Using Docker and userspace networking to simulate real-world"
distillery.com,Distillery Tech,inc.com_api_i5list,us,services_other,IT Services,,232,5,4,2,2,en+es,93,Hiring the Right Android Developers for Your Applications -  | 7 Awesome Augmented Reality Solutions | Distillery | Distillery Is Now a Certified “Great Place to Work” | Distil
sellvia.com,Sellvia,inc.com_api_i5list,us,ecommerce_retail,Business Products & Services,,227,5,5,5,5,en,227,Want To Grow A Strong Business With SEO? Try This! | Best Company Logos: Brand Logo Stories You May Not Have Hear | Best Ways To Get Instagram Followers And Boost Your Social M
virool.com,Virool,yc_directory,us,software_saas,saas,,221,5,5,4,3,en,133,7 Tricks to Shooting Better Video - Virool Video Marketing B | Case Studies - Virool Video Marketing Blog | 5 Advantages of Programmatic Advertising | Virool
marcumllp.com,Marcum LLP,inc.com_api_i5list,us,services_other,Financial Services,,211,4,4,3,2,en,106,Section 199 Domestic Production Deduction | Basic Health Program Funding Methodology Proposed Notice | Guidance Issued On Eligibility For Renewable Energy Credit
ntiva.com,Ntiva,inc.com_api_i5list,us,services_other,IT Services,,209,5,5,5,5,en,209,5 Things Your IT Help Desk Should Do For You | CMMC Section 3.5: Identification and Authentication | Bring Your Own Device (BYOD) Policy Tips and Best Practices
manatal.com,Manatal,g2.com_wayback,,software_saas,Applicant Tracking Systems (ATS),,203,5,5,5,5,en,203,Everything you need to know about Recruitment CRM | 9 Reasons Why You Need an Applicant Tracking System | 6 Phrases To Say And Avoid In A Performance Review
siegfriedgroup.com,The Siegfried Group,inc.com_api_i5list,us,services_other,Financial Services,,201,5,5,4,4,en,161,Locked and loaded: joy triggers | Siegfried Blog | 3 ways to improve your headspace for creativity | Siegfried  | Four things to look for in a mentor | Siegfried Blog
verifone.com,2Checkout (now Verifone),g2.com_wayback,us,fintech_insurance,E-Commerce Platforms,,200,5,5,2,2,en,80,Boosting Revenue with mPOS | Do Your Customers Ship Their Pants? | Forget Apple. Could Disney Kickstart NFC? : The Verifone Blo
sendowl.com,SendOwl,g2.com_wayback,,software_saas,E-Commerce Platforms,,194,5,5,4,3,en,116,Digital File Delivery: What to look for in a digital file de | How to Sell Codes Online: | Don't forget to plan your marketing for Black Friday and Chr
actioncleanup.com,Action Unlimited Resources,inc.com_api_i5list,us,ecommerce_retail,Business Products & Services,,192,4,4,3,2,en,96,The single most important quality of the best employee | COVID-19: Keeping Colleges Safe | The Best Ice Melt Tips in February
mentorcollective.org,Mentor Collective,inc.com_api_i5list,us,edtech,Education,,192,5,4,3,3,en+other,115,The Next Generation of Student Success | 40% of STEM Deans Don't Have Enough Mentors for Underreprese | How High-Quality Relationships Foster Sense of Purpose & Bel
strongdm.com,strongDM,g2.com_wayback,,software_saas,Identity and Access Management (IAM),,189,5,5,4,4,en,151,"Alternatives to Okta Advanced Server Access (ScaleFT) | stro | Managing Access to Ephemeral Infrastructure At Scale | stron | HIPAA, NIST, ISO, FedRAMP, FISMA, SOC2: What is the differen"
territoryfoods.com,Territory Foods,inc.com_api_i5list,us,ecommerce_retail,Food & Beverage,,188,5,5,3,2,en,75,Stress Busting Beverages - Drinks To Help Relieve Stress | How Do We Love Our Location Partners? Let Us Count The Ways. | 3 WAYS TO GET BACK ON TRACK AFTER A HOLIDAY WEEKEND WITH EAS
thirdera.com,Thirdera,inc.com_api_i5list,us,services_other,IT Services,,165,5,5,3,3,en,99,IT Service Management Blog | Evergreen Systems | IT as a Ser | IT Service Management Blog | Evergreen Systems | Asset Cente | IT Service Management Blog | Evergreen Systems | ITSM Strate
decisionlink.com,DecisionLink Corporation,inc.com_api_i5list,us,software_saas,Software,,159,5,5,4,4,en,127,"Recession Buster #5: Refresh Your Pricing Approach | Value Selling War Stories: #2, Is a Business Case Always Req | Using Customer Value Management to Close Your Tech Solutions"
northgatevehiclehire.co.uk,GAP Vehicle Hire,ft1000_wayback:20230425220624,uk,services_other,Support Services,,150,5,5,3,3,en,90,Ensuring a vehicle is roadworthy and safe to drive | HIPPO case study - Northgate Vehicle Hire | Is your ageing fleet slowing you down?
exteriormedics.com,Exterior Medics,inc.com_api_i5list,us,services_other,Construction,,149,5,5,5,5,en,149,How To Insulate Your Windows Without Breaking The Bank | How to Clean an Asphalt Shingle Roof: What You Need to Know | 6 Ways To Allergy-Proof Your Home This Spring
bamboohr.com,BambooHR,g2.com_wayback,us,software_saas,Core HR,,149,5,5,3,3,en,89,"5 Reasons We Offer “Paid Paid Vacation” (And Love It) | Bamb | Meet BambooHR's Newest Partners: Workable, Teamatics, and Mo | Are new employees using your company's directory? - BambooHR"
liquidweb.com,Liquid Web,inc.com_api_i5list,us,services_other,IT Services,,148,4,4,4,3,en,111,How Better Content Will Make Your Site Stand Out | Liquid We | Become PCI Compliant with Liquid Web | Liquid Web | 3 Common Myths to Agency Growth and Scale | Liquid Web
freightpop.com,FreightPOP,inc.com_api_i5list,us,software_saas,Software,,148,4,4,4,4,en,148,"Drones in Supply Chain Management - Warehouse, Tracking, Sur | Material Handling & Shipping - Where You Can Save Money Now! | The Advantages Of Digitizing Freight Data And How To Use It"
formulafolios.com,FormulaFolio Investments,inc.com_api_i5list,us,fintech_insurance,Financial Services,,146,5,5,3,3,en,88,"5-Minute Market Update | May 30, 2017 | FormulaFolios | 5-Minute Market Update | January 23, 2017 | FormulaFolios | FormulaFolios Portfolio Recap // January 2016 | FormulaFolio"
shedavi.com,Shedavi,inc.com_api_i5list,us,health,Consumer Products,,142,5,5,5,4,en,114,Max Hydration Method for Beginners | A little TLC: Some Tips on Keeping Your Hair Moisturized | Which Shedavi Products Should I Use? Let's Talk.
upside.com,Upside Services,inc.com_api_i5list,us,fintech_insurance,Financial Services,,140,5,5,3,2,en,56,How Upside helps fuel retailers as inflation rises | Upside | Where to Work Remotely in Memphis | Upside | Business Travel News Recap: July 26 | Upside Business Travel
greenfly.com,Greenfly,inc.com_api_i5list,us,software_saas,Software,,140,5,5,4,3,en,84,Mascot Marketing Strategy - The Best Examples on TikTok | Moneyball for Social Media: Go Beyond the Usual Metrics - Gr | How Sports Teams Can Demonstrate More Value to Sponsors With
humi.ca,Humi,yc_directory,us,software_saas,fintech,,138,5,5,5,5,en,138,The future is ‘work from anywhere’ (WFA) – why your company  | Four ways to create and maintain an inclusive workplace - Hu | COVID-19 Wage Subsidy: What Is It and How Businesses Can Imm
conquestmaps.com,Conquest Maps,inc.com_api_i5list,us,ecommerce_retail,Consumer Products,,138,5,5,5,4,en,110,"The ultimate travel checklist: 30 things to do before your n | 11 Iconic Adventures in the United States National Parks | 10 Free, Can't-Miss Experiences in Sydney"
silvercloudinc.com,SilverCloud,inc.com_api_i5list,us,software_saas,Software,,138,5,5,3,3,en,83,Arizona Federal: The Secret to 95% Employee Satisfaction | Reimagining the Bank and Credit Union Training Approach | 5 Simple Bank and Credit Union Website Improvements
sensehq.com,Sense,inc.com_api_i5list,us,software_saas,Software,,138,5,5,4,4,en,110,Hard to Love: Why Scaling Contractor Care Isn’t Easy - Part  | Top 10 resources for forward-thinking staffing pros | Different ways to automatically stay engaged with your talen
inventorysource.com,Inventory Source,inc.com_api_i5list,us,software_saas,Software,,136,5,5,5,4,en,109,"How To Write An ""About Us"" Page For A Wholesale Dropship Pro | Selling On eBay Is About Growing Both Sales And Customers | 3D Cart Dropship Integration"
casetext.com,Casetext,yc_directory,us,software_saas,saas,,133,5,5,2,2,en,53,The A.I. Arms Race with Alex Lakatos - Casetext Insights | The Future of the Legal Profession After COVID-19 | Casetext | How To Start a Law Firm Without a Plan or Budget: Your Self-
flyhomes.com,Flyhomes,inc.com_api_i5list,us,services_other,Real Estate,,131,5,5,4,2,en,52,A Q&A with Team Lead Renee Sandoval - Blog | February 2021 Market Update: Southern California - The Livin | December Market Update: Seattle + Eastside - The Living Room
launchdarkly.com,LaunchDarkly,g2.com_wayback,us,devtools,Continuous Delivery,,130,3,3,3,3,en,130,Feature Flags (Toggles) in DevOps: How These Concepts Relate | Feature Flag-Driven Releases | Great GameDays: Thinking About Failure Holistically
demandjump.com,DemandJump,inc.com_api_i5list,us,software_saas,Software,,123,5,5,3,3,en,74,"Content Marketing Examples: When To Use Each Type | DemandJump, Appirio Among Big Mira Winners | Can I Do SEO On My Own? A How-to Guide for SEO"
boldrimpact.com,Boldr,inc.com_api_i5list,us,services_other,Business Products & Services,,122,5,5,2,2,en,49,Post-Traumatic Growth in Outsourcing - Boldr. | Pride Month: No Longer Misunderstood - Boldr. | The Best Tips To Engage Your Remote Teams - Boldr.
bluecrewjobs.com,Bluecrew,yc_directory,us,services_other,saas,,115,5,5,3,3,en,69,April Employment Outlook | Bluecrew Resources | 3 Reasons Flexible Staffing is Key for The Post-COVID World  | Making “Hourly Work” Work: Retention In A Pandemic | Bluecre
pfleet.com,Plavan Commercial Fueling,inc.com_api_i5list,us,fintech_insurance,Business Products & Services,,107,5,5,5,4,en,86,The CFN Application Process | How a Diesel Fuel Card Can Help Your Business | 4 Fuel Card Services You Need to Be Using!
observe.ai,Observe.AI,yc_directory,us,software_saas,saas,,105,5,5,3,3,en,63,Level up QA Evaluations with these new and exciting features | 4 future-forward ways energy companies improve agent perform | How Qualfon decreased average handle time by 16 seconds
coviu.com,Coviu,g2.com_wayback,us,health,Telemedicine,,104,5,5,4,3,en,62,Australian Bushfires Worsen Rural Mental Health Crisis | FAQ: Clinical Aspects of Telehealth | How to Provide Affordable Mental Health Care to Rural Austra
opiniion.com,Opiniion,inc.com_api_i5list,us,software_saas,Software,,101,5,5,2,2,en,40,Why is Online Reputation So Important? - Opiniion | Opiniion Partners with TriArc Real Estate Partners - Opiniio | Opiniion Announces New Partnership - Opiniion
insightpestnorthwest.com,Insight Pest Solutions Portland,inc.com_api_i5list,us,services_other,Consumer Services,,97,5,5,3,2,en,39,Hendricks Park - Insight Pest Solutions | How to Get Rid of Ants | Chelatchie Prairie Railroad - Insight Pest Solutions
avocor.com,Avocor,inc.com_api_i5list,us,ecommerce_retail,Computer Hardware,,93,5,5,5,4,en,74,Business Collaboration: 15 Ideas to Grow & Scale Quickly | A | How to Create Your Inspirational Collaborative Office Space  | Creating the Perfect Huddle Room (Step-By-Step Guide) | Avoc
junipersquare.com,Juniper Square,inc.com_api_i5list,us,fintech_insurance,Software,,87,5,5,4,4,en,70,What the changing definition of “accredited investor” means  | Research results: How the fastest-growing CRE investment fir | Bakersfield to billions: Gelt Inc.’s Keith Wasserman gets re
weberfps.com,Weber Facial Plastic Surgery,inc.com_api_i5list,us,health,Health Services,,82,5,5,3,3,en,49,Dermal Fillers vs. Plastic Surgery - Weber Facial Plastic Su | What You Should Know Before Receiving Dermal Fillers - Weber | Injectable Days! Back by Popular Demand
alluremedical.com,Allure Medical,inc.com_api_i5list,us,health,Health Services,,80,5,5,3,2,en,32,Is Wegovy Weight Loss Drug Really Better than the Generic Br | 5 Week Ab Transformation with Emsculpt | The 80/20 Rule
buypeakperformance.com,Peak Performance Life,inc.com_api_i5list,us,health,Health Services,,79,5,5,3,2,en,32,"Why I'll NEVER Drink Diet Soda | How To Improve Your Cell and Mitochondrial Health While Reve | The INNER Game Of Health. Mindset, Vision, Language, Identit"
totalexpert.com,Total Expert,inc.com_api_i5list,us,fintech_insurance,Financial Services,,76,5,5,2,2,en,30,Top 3 Takeaways from Accelerate 2022 | Total Expert | Watch: Total Expert Demonstrates How Customer Intelligence D | How to Spot the Right Tech Partner for Banking Innovation | 
envistaforensics.com,Envista Forensics,inc.com_api_i5list,us,services_other,Business Products & Services,,74,5,5,5,4,en,59,Top 4 Common Summer Claims | Why do Daubert and Frye Standards Why do Daubert and Frye St | Are There Really Flaws in Cell Phone Location Evidence?
vuram.com,Vuram,inc.com_api_i5list,us,services_other,Software,,74,3,3,3,3,en,74,Eight reasons why your enterprise needs low code | Robotic Process Automation in Manufacturing Industry | Returning to the workplace post-COVID-19: How to get back to
theohmstore.co,The Ohm Store,inc.com_api_i5list,us,ecommerce_retail,Consumer Products,,73,5,5,4,4,en,58,Why And How To Use Singing Bowls For Sleep? (Easiest Action  | Therapeutic Grade Essential Oil: The Story Of Ohm Oil | How To Use Your Little Ohmie Bowl With Your Little Ohmie
superb-ai.com,Superb AI,yc_directory,us,software_saas,saas,,68,4,4,2,2,en,34,Introducing Custom Auto-Label for Long-Tail Computer Vision | Best Practices for Video Annotation for Computer Vision Data | Is DataPrepOps The Missing Piece of the ML Lifecycle Puzzle?
truelinkfinancial.com,True Link Financial,inc.com_api_i5list,us,fintech_insurance,Financial Services,,68,5,5,4,2,en,27,Tough stuff: Cognitive impairment and difficult conversation | Give the gift of independence to your elderly loved one. | T | Social Security Beneficiaries Receive Highest Cost-of-Living
guardianlit.com,"Guardian Litigation Group, LLP",inc.com_api_i5list,us,services_other,Legal,,66,5,5,2,2,en,26,Posts in Budgeting Tips | Consumers Get Additional Debt Collection Protections From CF | Posts in Wage and Hour
peoplesuite.com,PeopleSuite Talent Solutions,inc.com_api_i5list,us,services_other,Human Resources,,63,4,4,3,3,en,47,5 Benefits of Diversity in the Workplace | Best Hiring Practices for a Stronger Team | 4 Tips to Optimize the Business Matchmaking Process
kapitaldata.com,Kapital Data,inc.com_api_i5list,us,services_other,Human Resources,,59,5,5,2,2,en,24,"When We Failed To Deliver, On-Time | Why So Optimistic? | Our Ideal Employee"
languagenetworkusa.com,Language Network,inc.com_api_i5list,us,services_other,Business Products & Services,,58,5,5,3,3,en,35,"The Role of Classroom Interpreters, and How to Select the Ri | The History of Language in Washington State | Meet our Team: Devon Reed"
grover.com,Grover Group,ft1000_wayback:20210331132419,eu,ecommerce_retail,Ecommerce,,57,4,3,2,2,de+en,28,Grover | A beginner’s guide to flying your first drone | Grover Blog | Welcome to the cameraphone space age: the Xiao | Grover | DJI Mini 2 Fly More Combo: Hoch hinaus mit der beli
sstid.com,Strategic Systems & Technology Corporation,inc.com_api_i5list,us,services_other,Business Products & Services,,52,5,5,3,3,en,31,Heads-Up Display for Mobile Workers: Zebra’s Breakthrough HD | Selecting the Right Mobile Devices for Healthcare | Healthca | Exciting Enhancements Made SOTI ONE Platform
modloft.com,International Product Marketing,inc.com_api_i5list,us,ecommerce_retail,Retail,,52,5,5,5,5,en,52,Modern Dining Table Buying Guide | Platform Beds vs. Box Springs: Which is Better? | Modern Sofas: Complete Buyers Guide
doublewoodsupplements.com,Double Wood,inc.com_api_i5list,us,health,Healthcare & Medical,,50,5,5,5,4,en,40,"Explore What’s New In The World Of Supplements, Health, And  | Explore What’s New In The World Of Supplements, Health, And  | Explore What’s New In The World Of Supplements, Health, And "
credpal.com,CredPal,yc_directory,us,fintech_insurance,fintech,,49,5,3,2,2,en+other,20,Home Minimal - CredPal | What is a credit card? - CredPal | Home Category Carousel - CredPal
windowworld-btr.com,Window World of Baton Rouge,inc.com_api_i5list,us,services_other,Construction,,43,5,5,5,3,en,26,3 Tips for Hurricane Preparation | Window World Baton Rouge | Why Do My Windows Have So Much Condensation? - Window World  | How to Increase Your Bathroom Window Privacy - Window World 
eatcaulipower.com,Caulipower,inc.com_api_i5list,us,ecommerce_retail,Food & Beverage,,40,5,5,4,3,en,24,"In Honor Of My Father, Thank You To The Families Who Serve | 5 Things You Didn't Know About Frozen Food | Caulipower | Healthy Tiki Party Ideas | Caulipower"
buildwithproactive.com,Proactive Controls Group,inc.com_api_i5list,us,services_other,Construction,,38,5,5,4,3,en,23,Class 108: Work Breakdown Structures | Three Key Tips to Optimizing a Contractor’s Risk Management  | 83% of the Industry Experiences Claims and 98% of Mega-Proje
creativealignments.com,Creative Alignments,inc.com_api_i5list,us,services_other,Business Products & Services,,36,5,5,4,4,en,29,Six Steps to an Empathetic Exit | How to Write a Job Description to Attract Your Ideal Employe | Actionable Steps For Diversity Hiring
idelic.com,Idelic,inc.com_api_i5list,us,software_saas,Software,,25,5,5,3,3,en,15,Carney Trucking Shutdown: Preventing an Insurance Nightmare | 120 Driver Fleet Suddenly Closes - Only Weeks After Award | The Hidden Danger for Drivers: Depression and 5 Ways to Figh
berndtcpa.com,Berndt CPA,inc.com_api_i5list,us,services_other,Financial Services,,395,5,5,5,3,en,237,Supporting You | Love Your Business | Mobile Solutions
cyberark.com,CyberArk Identity (formerly Idaptive),g2.com_wayback,us,software_saas,Identity and Access Management (IAM),,377,5,5,4,4,en,302,Supply Chain Meets Blockchain: A Perfect Match | CyberArk | Key Management in the Cloud - Part 2 | CyberArk | NOTICE: Investigators Warn of Increase in Service Account Ex
gochirp.com,Chirp,inc.com_api_i5list,us,health,Consumer Products,,367,4,4,4,2,en,184,Three Tips to Become a Successful Chirp Influencer | How the Chirp Wheel Helps Relieve Neck and Shoulder Pain | How to Keep Your Dog’s Back Happy (Because Yours Already Is)
oxylabs.io,Oxylabs.io,ft1000_wayback:20220301043147,eu,devtools,Technology,,355,5,5,4,3,en,213,Playwright Proxy Integration With Oxylabs | What is a Transparent Proxy and How is It Used? | Web Scraping With RegEx
rakenapp.com,Raken DEACTIVATED,inc.com_api_i5list,us,services_other,Software,,342,5,5,4,2,en,137,How to Start a Project on Raken | 5 Green Building Practices for Construction Companies | Mastering the Creation of Construction Daily Reports
intelycare.com,IntelyCare,inc.com_api_i5list,us,health,Health Services,,332,5,5,3,3,en,199,"What does an RN do? | IntelyCare | How Nursing Professionals Can Be Advocates | IntelyCare | What Does a Home Health Nurse Do? - IntelyCare, Inc."
kadenze.com,Kannu,g2.com_wayback,us,edtech,Learning Management System (LMS),,325,5,5,2,2,en,130,What's That Noise?: Devising Sound Elements in Horror Movies | Daily Inspiration #19 - Kadenze Blog | Introducing the Kadenze Virtual Studio: A new teaching space
demandsphere.com,DemandSphere,yc_directory,us,software_saas,saas,,324,5,5,4,3,en,194,SEOMoz and GinzaMetrics partnership | Digital analytics and web optimization | Improve content marketing campaigns
compliancequest.com,ComplianceQuest,inc.com_api_i5list,us,software_saas,Software,,318,5,5,5,5,en,318,"OSHA revises its maximum penalty for 2021 | CompianceQuest | Remote Audits Done Right for Quality & Safety Leaders | Dear Safety Leaders, AI is having its Digital Transformation"
cornerstoneondemand.com,Cornerstone Learning,g2.com_wayback,us,software_saas,Learning Management System (LMS),,317,5,5,4,3,en,190,Forget Best Practices. How to Get Employee Training Right | CSOD | Cornerstone Report Details Effects of Toxic Employees in the
gitprime.com,GitPrime,yc_directory,us,devtools,devtools,,313,5,5,3,3,en,188,Managing From Afar: How This Engineering Manager Tackles the | How to Use the Review & Collaboration Report to Visualize Tr | Towards a Philosophy of Big Data
paddle.com,Paddle,g2.com_wayback,other,fintech_insurance,Subscription Billing,,305,5,5,3,2,en,122,SaaS churn rate: What does good look like? | We've been named a Future Fifty company | Making big bets: Our approach to trade shows and events
mequilibrium.com,New Life Solution,inc.com_api_i5list,us,software_saas,Software,,288,5,5,4,2,en,115,5 Questions to ‘Self-Check’ for Team Burn Out | meQuilibrium | 4 Keys to Sanely Working From Home | meQuilibrium | 3 Ways to Push Past Procrastination | meQuilibrium
gooten.com,Gooten,inc.com_api_i5list,us,ecommerce_retail,Manufacturing,,276,5,5,5,5,en,276,10 Social Media Trends for Your Print on Demand Business - G | How to Use 2020 Data to Make Better Investments for Your eCo | Top 3 Free SEO Plugins for Shopify
worthpoint.com,WorthPoint Corporation,inc.com_api_i5list,us,ecommerce_retail,Consumer Services,,274,5,5,3,3,en,164,Antiques Auction Forum Podcast: Repurposing with Cari Cuckse | Antique Dolls Question Session: Turn of the Century J.D. Kes | Autographs
aceup.com,AceUp,inc.com_api_i5list,us,services_other,Human Resources,,268,5,5,5,4,en,214,The AceUp Blog | Change Your Perspectives | resignation lett | Experiencing Caregiver Burnout? Here’s A Proven Antidote | Ideas for Successful Team Building Activities for Work
corsicatech.com,Corsica Technologies,inc.com_api_i5list,us,services_other,IT Services,,259,5,5,4,3,en,155,Leadership and Achievements on CRN’s 2021 Women of the Chann | Internet of Things (IoT) - It's Real and Here's Why You Shou | 4 Steps for Surviving the Windows Server 2003 End of Support
realmanage.com,RealManage,inc.com_api_i5list,us,services_other,Real Estate,,255,5,5,4,4,en,204,9 Habits of Extremely Productive Community Association Manag | 5 Ways to Keep Your HOA's Financial Stability | Dealing with Mold in Your Community Association
logicbroker.com,Logicbroker,inc.com_api_i5list,us,software_saas,Software,,236,5,5,4,3,en,142,What is an EDI 832? | Best Practices in Affiliate Marketing | Eliminate manual work by using Dynamics GP workflows
hiverhq.com,Hiver,g2.com_wayback,us,software_saas,Help Desk,,225,5,5,3,3,en,135,Leave a Reply Cancel reply | 10 Writing Mistakes That Make Your Emails Ineffective | Hiver now automatically adds new sent emails to Shared Mailb
ketoand.co,LongRun,inc.com_api_i5list,us,ecommerce_retail,Food & Beverage,,221,5,5,3,3,en,133,Keto Soup Recipes You Need To Know About | Keto Granola and Yogurt Cups | Cozy Up to This Rich and Milky Keto Hot Cocoa Made with Wond
bearaby.com,Bearaby,inc.com_api_i5list,us,ecommerce_retail,Consumer Products,,215,5,5,5,5,en,215,What Causes Snoring and How to Stop it? | Why Do I Twitch as I'm Falling Asleep? | Importance of Sleep for Healthy Aging
symplr.com,Vendor Credentialing Service,inc.com_api_i5list,us,health,Software,,213,5,5,4,4,en,170,How Hospital Supply Chain Leaders Can Thrive in a Virtual En | Change Management: Understanding the Emotional Impact of New | MSPs: Natural Born Leaders
kipsu.com,Kipsu Inc,inc.com_api_i5list,us,software_saas,Software,,194,5,5,2,2,en,78,Driving better patient outcomes with digital messaging | Kip | PAH Management Chooses Kipsu as Their Real-Time Engagement P | 5 Ways Kipsu Drives Hotel Efficiency | Kipsu
cascade.app,Cascade Strategy,inc.com_api_i5list,us,software_saas,Software,,192,5,5,5,5,en,192,Customer Service KPIs - The Key Metrics To Track | Gap Analysis: Guide and Template | Transitioning Your Strategic Plan
autorabit.com,AutoRABIT,g2.com_wayback,us,devtools,Continuous Integration,,187,5,5,3,3,en,112,WEBINAR : Becoming a Salesforce Release Automation Superstar | 8 Common Salesforce Security Mistakes That Put You at Risk - | What Are Salesforce Change Sets? - AutoRABIT
starburst.io,Starburst,inc.com_api_i5list,us,software_saas,Software,,184,5,5,4,3,en,110,Going from Data-Driven to Insights-Driven with a SQL Query E | The Future of Analytics: In Conversation With Matt Fuller | Starburst Stargate: The Final Frontier in Analytics Anywhere
triaxtec.com,Triax Technologies,inc.com_api_i5list,us,software_saas,Software,,183,5,5,3,2,en,73,"2017 Year in Review - Triax Technologies | 3 Key Elements To Making A COVID-Safe Workspace | The 3 I's of Installation, Identification, and Insurance"
intekfreight-logistics.com,InTek Freight & Logistics,inc.com_api_i5list,us,services_other,Logistics & Transportation,,181,5,5,4,4,en,145,Logistics Service Provider (LSP) Defined in 100 Words | Logistics and Supply Chain Trends: 2022 and Beyond | Advantages of Outsourcing Your Freight Logistics to an LSP
drinksupercoffee.com,Kitu Life Super Coffee,inc.com_api_i5list,us,ecommerce_retail,Food & Beverage,,179,5,5,4,3,en,107,Positive Energy In Action | Super Coffee | L-Theanine Pros And Cons: Benefits And Side Effects | Super  | The Many Benefits Of Black Coffee – Other Than Staying Awake
privy.com,Privy,g2.com_wayback,us,software_saas,Email Marketing,,174,5,5,4,3,en,104,How to Build an Email List | How Dormify Stays Nimble for an Ever-Changing Audience with  | Free Resources To Get Smart and Jumpstart Your Ecommerce Bus
bookkeeper360.com,Bookkeeper360,inc.com_api_i5list,us,services_other,Financial Services,,172,5,4,4,3,en+other,103,What is a Xero Advisor? | Bookkeeper360 | How to Connect Financial Data to Business Goals | Bookkeeper | Top 10 Ways to Create a Millennial-Friendly Environment | Bo
patternlife.com,Pattern,inc.com_api_i5list,us,fintech_insurance,Insurance,,167,5,5,3,2,en,67,Digging Into Your Disability Insurance Meeting | Pattern Lif | How to get disability insurance easily as a doctor with Patt | Practical Wellness Definition
agilethought.com,AgileThought,inc.com_api_i5list,us,services_other,IT Services,,161,5,5,2,2,en,64,Extreme Team Building Through 200 Mile Relay | 5 Reasons Why Backlog Refinement is Crucial for Agile Planni | Chris Spagnuolo Joins AgileThought as Principal Product Cons
circleci.com,CircleCI,g2.com_wayback,us,devtools,Continuous Integration,,158,5,5,2,2,en,63,Automate and scale your CI/CD with CircleCI orbs | Check Out CircleCI at DeveloperWeek 2016 | CircleCI config teardown: How we write our CircleCI config a
appwinit.com,WinIt,inc.com_api_i5list,us,services_other,Consumer Products,,158,5,5,5,4,en,126,Finally Some Good News: NYC Traffic Fatalities Drop For Thir | NYS Motorcycle Laws | WinIt App | Fire Hydrant Tickets in Texas | WinIt App
computersolutionseast.com,Computer Solutions East,inc.com_api_i5list,us,services_other,IT Services,,156,5,5,5,5,en,156,IT Operating model in Cloud | computersolutionseast | Managed Cloud Service Providers | computersolutionseast | Cloud Application Modernization | computersolutionseast
letstalkinteractive.com,Let's Talk Telehealth Video Conferencing Office Suite,g2.com_wayback,,health,Telemedicine,,153,5,5,2,2,en,61,Is Zoom HIPAA Compliant? | Press Release: Let’s Talk Interactive Welcomes Caitlin Wolf  | World Mental Health Day - How Virtual Care Benefits Behavior
geturns.com,GetUrns,inc.com_api_i5list,us,ecommerce_retail,Consumer Products,,147,5,5,5,4,en,118,Cremation Jewelry - The Origins and Purpose of Jewelry in Mo | What are the 5 Major Ideas for An End-of-life Plan? | Hosting an Online Memorial for Your Loved One
